               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030523,            0.015725,           0.0025606,             0.92123,             0.79137,             0.88029,             0.58229,            0.033672,            0.012996,           0.0036661,            0.006535,            0.006535,            0.006535
                  37,            0.030021,            0.015165,           0.0023054,             0.91331,             0.82777,             0.88589,             0.58144,            0.033549,            0.013166,           0.0029467,            0.006436,            0.006436,            0.006436
                  38,            0.030448,            0.015481,           0.0024853,             0.93022,             0.83104,             0.88564,             0.57953,            0.034456,            0.013049,           0.0026755,            0.006337,            0.006337,            0.006337
                  39,            0.029717,            0.015195,           0.0024876,             0.90808,             0.79466,             0.88088,             0.57003,            0.033795,            0.013063,           0.0035734,            0.006238,            0.006238,            0.006238
                  40,            0.030694,            0.015584,           0.0021664,             0.92394,             0.80919,             0.88563,              0.5822,            0.033463,            0.012997,           0.0029837,            0.006139,            0.006139,            0.006139
                  41,            0.030183,            0.015364,           0.0022207,             0.92377,             0.81554,             0.88928,             0.58285,            0.033312,            0.012726,           0.0033952,             0.00604,             0.00604,             0.00604
                  42,            0.029865,            0.015597,           0.0020944,             0.92375,             0.82665,             0.89256,             0.58389,            0.033326,            0.012906,           0.0021705,            0.005941,            0.005941,            0.005941
                  43,            0.030293,            0.015553,           0.0020398,             0.92256,             0.83336,             0.88955,             0.58444,            0.033106,            0.013198,           0.0021422,            0.005842,            0.005842,            0.005842
                  44,            0.030103,            0.015907,           0.0021018,             0.91401,             0.82496,             0.88291,              0.5737,            0.033298,            0.013215,           0.0028089,            0.005743,            0.005743,            0.005743
                  45,            0.029304,            0.015122,           0.0020774,             0.91637,             0.83849,             0.89354,             0.58186,            0.033379,            0.012951,            0.002491,            0.005644,            0.005644,            0.005644
                  46,            0.029492,            0.015404,           0.0025245,             0.91998,             0.83464,             0.88982,             0.58937,            0.033516,            0.012912,           0.0028571,            0.005545,            0.005545,            0.005545
                  47,            0.029535,            0.015381,           0.0020345,             0.91401,             0.82849,             0.88925,             0.58894,            0.033693,            0.012971,           0.0024567,            0.005446,            0.005446,            0.005446
                  48,            0.028713,            0.014892,           0.0019309,             0.93207,             0.81631,             0.88653,             0.57268,            0.033768,            0.013093,           0.0026231,            0.005347,            0.005347,            0.005347
                  49,            0.029635,            0.014515,           0.0017841,             0.92903,             0.82652,             0.89095,             0.60196,            0.032795,            0.012956,           0.0023434,            0.005248,            0.005248,            0.005248
                  50,            0.028329,            0.014953,           0.0018883,             0.92677,             0.83638,             0.88937,             0.59345,            0.032692,             0.01307,           0.0022799,            0.005149,            0.005149,            0.005149
                  51,            0.029297,            0.015658,           0.0020128,             0.92837,             0.82802,             0.88647,             0.58036,            0.033377,            0.013386,           0.0022123,             0.00505,             0.00505,             0.00505
                  52,            0.027689,            0.014494,            0.001805,             0.92177,             0.83231,             0.88711,             0.59059,            0.032476,            0.013061,           0.0023038,            0.004951,            0.004951,            0.004951
                  53,            0.028409,            0.015086,           0.0017961,             0.93357,              0.8253,             0.88838,             0.58896,            0.033396,            0.013392,           0.0023056,            0.004852,            0.004852,            0.004852
                  54,            0.028655,            0.015058,           0.0019024,             0.95058,             0.82292,             0.89047,             0.58843,            0.033281,            0.013243,           0.0024158,            0.004753,            0.004753,            0.004753
                  55,            0.028068,            0.014742,           0.0017419,             0.93333,              0.8216,             0.89082,             0.59474,            0.032449,            0.013048,           0.0025967,            0.004654,            0.004654,            0.004654
                  56,            0.027705,            0.014949,           0.0019037,             0.92559,             0.81395,             0.88626,             0.58847,            0.033479,            0.013025,           0.0028546,            0.004555,            0.004555,            0.004555
                  57,            0.027782,            0.014985,           0.0020997,             0.93186,             0.84525,             0.89552,             0.60371,              0.0322,            0.012948,           0.0024325,            0.004456,            0.004456,            0.004456
                  58,             0.02755,            0.014484,           0.0016634,             0.93559,             0.82037,             0.89197,             0.59837,            0.032566,            0.012924,             0.00253,            0.004357,            0.004357,            0.004357
                  59,            0.027836,             0.01451,           0.0016452,             0.91692,             0.84378,             0.89533,             0.59716,            0.033018,            0.013177,            0.001807,            0.004258,            0.004258,            0.004258
                  60,            0.026867,             0.01425,           0.0016265,             0.94743,             0.81724,             0.89436,             0.59584,             0.03245,            0.013211,           0.0024317,            0.004159,            0.004159,            0.004159
                  61,            0.027552,            0.014547,            0.001546,             0.93691,             0.82469,             0.89178,             0.59625,            0.032614,            0.013302,           0.0021824,             0.00406,             0.00406,             0.00406
                  62,            0.026997,            0.014058,           0.0013927,             0.93065,             0.83042,             0.89081,             0.59357,            0.032605,            0.013047,           0.0032357,            0.003961,            0.003961,            0.003961
